record,original_addr,matched_ind,match_type,matched_address,lon,lat,indicator
0,,,,Sample,-112.51509999999999,33.506299999999996,
0,,,,Sample,-112.2408,33.60204,
0,,,,Sample,-112.28,33.57246,
0,,,,Sample,-112.48649999999999,33.44516,
0,,,,Sample,-112.5063,33.50076,
0,,,,Sample,-112.3295,33.36632,
0,,,,Sample,-112.36019999999999,33.48313,
0,,,,Sample,-112.24369999999999,33.59584,
0,,,,Sample,-112.3263,33.37919,
0,,,,Sample,-112.4688,33.49816,
0,,,,Sample,-112.5099,33.44899,
0,,,,Sample,-112.323,33.53101,
0,,,,Sample,-112.2929,33.41689,
0,,,,Sample,-112.4075,33.55477,
0,,,,Sample,-112.33239999999999,33.53269,
0,,,,Sample,-112.52329999999999,33.5868,
0,,,,Sample,-112.1524,33.42961,
0,,,,Sample,-112.4069,33.49342,
0,,,,Sample,-112.54979999999999,33.37896,
0,,,,Sample,-112.1867,33.590849999999996,
0,,,,Sample,-112.19879999999999,33.60693,
0,,,,Sample,-112.1781,33.55939,
0,,,,Sample,-112.2271,33.55282,
0,,,,Sample,-112.2037,33.35418,
0,,,,Sample,-112.2969,33.34189,
0,,,,Sample,-112.2271,33.34997,
0,,,,Sample,-112.5154,33.40204,
0,,,,Sample,-112.4683,33.46683,
0,,,,Sample,-112.5045,33.49665,
0,,,,Sample,-112.2371,33.56915,
0,,,,Sample,-112.4725,33.53716,
0,,,,Sample,-112.351,33.44364,
0,,,,Sample,-112.16109999999999,33.43922,
0,,,,Sample,-112.4242,33.56178,
0,,,,Sample,-112.5232,33.54495,
0,,,,Sample,-112.43719999999999,33.59951,
0,,,,Sample,-112.4833,33.52866,
0,,,,Sample,-112.4619,33.477669999999996,
0,,,,Sample,-112.51169999999999,33.44619,
0,,,,Sample,-112.3164,33.58774,
0,,,,Sample,-112.20519999999999,33.37804,
0,,,,Sample,-112.3817,33.57712,
0,,,,Sample,-112.3575,33.37568,
0,,,,Sample,-112.1813,33.3728,
0,,,,Sample,-112.25529999999999,33.45563,
0,,,,Sample,-112.30369999999999,33.35179,
0,,,,Sample,-112.31689999999999,33.47194,
0,,,,Sample,-112.3856,33.40152,
0,,,,Sample,-112.3061,33.57915,
0,,,,Sample,-112.2841,33.40019,
0,,,,Sample,-112.3742,33.47296,
0,,,,Sample,-112.44019999999999,33.4887,
0,,,,Sample,-112.24459999999999,33.5021,
0,,,,Sample,-112.5388,33.43983,
0,,,,Sample,-112.39359999999999,33.41241,
0,,,,Sample,-112.4952,33.3841,
0,,,,Sample,-112.497,33.506009999999996,
0,,,,Sample,-112.4587,33.50295,
0,,,,Sample,-112.4857,33.46469,
0,,,,Sample,-112.5508,33.44907,
0,,,,Sample,-112.5585,33.37545,
0,,,,Sample,-112.4146,33.55655,
0,,,,Sample,-112.53059999999999,33.35687,
0,,,,Sample,-112.5067,33.41084,
0,,,,Sample,-112.2363,33.48371,
0,,,,Sample,-112.2205,33.38296,
0,,,,Sample,-112.4825,33.59045,
